layer,head,value
0,0,0.671875
0,1,0.734375
0,2,0.63671875
0,3,0.59765625
0,4,0.69921875
0,5,0.69140625
0,6,0.7265625
0,7,0.65234375
0,8,0.92578125
0,9,0.9453125
0,10,0.66015625
0,11,0.875
0,12,0.7265625
0,13,0.765625
0,14,0.765625
0,15,0.703125
0,16,0.98046875
0,17,0.9921875
0,18,0.97265625
0,19,0.9921875
0,20,0.42773438
0,21,0.33203125
0,22,0.875
0,23,0.87109375
0,24,0.93359375
0,25,0.94140625
0,26,0.3203125
0,27,0.8984375
0,28,0.78515625
0,29,0.484375
0,30,0.33007812
0,31,0.37695312
1,0,0.14453125
1,1,0.56640625
1,2,0.15625
1,3,0.33984375
1,4,0.38867188
1,5,0.46289062
1,6,0.25
1,7,0.23632812
1,8,0.15722656
1,9,0.27148438
1,10,0.390625
1,11,0.19042969
1,12,0.16796875
1,13,0.059326172
1,14,0.22753906
1,15,0.35351562
1,16,0.18457031
1,17,0.32421875
1,18,0.3359375
1,19,0.27929688
1,20,0.07373047
1,21,0.15527344
1,22,0.26367188
1,23,0.14648438
1,24,0.35546875
1,25,0.42773438
1,26,0.22167969
1,27,0.25195312
1,28,0.25390625
1,29,0.47851562
1,30,0.110839844
1,31,0.3359375
2,0,0.20019531
2,1,0.08154297
2,2,0.14941406
2,3,0.15527344
2,4,0.13183594
2,5,0.10449219
2,6,0.18847656
2,7,0.09814453
2,8,0.07128906
2,9,0.07080078
2,10,0.09082031
2,11,0.09716797
2,12,0.20507812
2,13,0.16894531
2,14,0.045166016
2,15,0.15039062
2,16,0.08886719
2,17,0.15429688
2,18,0.25
2,19,0.30078125
2,20,0.02734375
2,21,0.24609375
2,22,0.1328125
2,23,0.21972656
2,24,0.10888672
2,25,0.14160156
2,26,0.11035156
2,27,0.08496094
2,28,0.12695312
2,29,0.11328125
2,30,0.12060547
2,31,0.14160156
3,0,0.17578125
3,1,0.095703125
3,2,0.08691406
3,3,0.20117188
3,4,0.08935547
3,5,0.096191406
3,6,0.12597656
