AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
mlp,-10.0,10.0,161.16178091935038,25.90381876887572,2.732724464273036,140.64394644784358,82.13399503722084,6.0606060606060606,403,396,11.398148148148149,16.113425925925927,"[62, 69, 76, 108, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-5.0,5.0,161.17739685944437,25.903818768877994,2.732480323648036,140.66756323861506,82.13399503722084,6.0606060606060606,403,396,11.393518518518519,16.108796296296298,"[62, 69, 76, 108, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-3.0,3.0,161.36241622032082,25.882026634827653,2.7020905271511846,140.64017072070152,82.13399503722084,6.297229219143577,403,397,11.395833333333334,16.09259259259259,"[62, 69, 76, 108, 126, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-2.5,2.5,161.1796798961599,25.903811854482267,2.7270824051394413,140.6471425681054,82.13399503722084,6.0606060606060606,403,396,11.395833333333334,16.10648148148148,"[62, 69, 76, 108, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-2.0,2.0,161.39730287047882,25.847163609149025,2.7263952359035475,140.61001789065676,82.13399503722084,6.0606060606060606,403,396,11.391203703703704,16.125,"[62, 69, 76, 108, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-1.5,1.5,161.2953032994976,25.894145194102908,2.6984497739285227,140.71153907645663,82.13399503722084,6.297229219143577,403,397,11.395833333333334,16.099537037037038,"[62, 69, 76, 108, 126, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-1.0,1.0,161.31791020603532,25.841272028233675,2.710365260570084,140.5444889808146,82.13399503722084,6.0606060606060606,403,396,11.400462962962964,16.14814814814815,"[62, 69, 76, 108, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,-0.5,0.5,161.31678564778895,25.89260298614993,2.7330022723439034,140.5349269864435,82.13399503722084,6.0606060606060606,403,396,11.381944444444445,16.113425925925927,"[62, 69, 76, 108, 150, 153, 159, 161, 170, 178, 191, 200, 210, 241, 262, 288, 304, 319, 336, 384, 386, 408, 412, 417]"
mlp,0.0,0.0,159.98276997171342,23.70705494354479,2.4535551709122956,131.6935125142336,81.02189781021897,2.898550724637681,411,414,10.055555555555555,11.07638888888889,"[126, 144, 150, 159, 170, 178, 200, 262, 288, 304, 336, 417]"
mlp,0.5,-0.5,133.61943013886048,19.671489580650814,2.9270330742001534,95.40864944458008,81.77458033573141,0.0,417,416,10.92824074074074,9.972222222222221,[]
mlp,1.0,-1.0,133.7392504101299,19.61443948862143,2.9054782167077065,95.53512287139893,81.77458033573141,0.0,417,416,10.886574074074074,9.988425925925926,[]
mlp,1.5,-1.5,133.72460123502242,19.70525551319588,2.907260425388813,95.47692441940308,81.77458033573141,0.0,417,416,10.875,9.99074074074074,[]
mlp,2.0,-2.0,133.77686411679315,19.697903367923573,2.9065003469586372,95.4715690612793,81.77458033573141,0.0,417,416,10.893518518518519,9.972222222222221,[]
mlp,2.5,-2.5,133.72914513271826,19.672630851273425,2.9144152626395226,95.58140850067139,81.77458033573141,0.0,417,416,10.92361111111111,9.967592592592593,[]
mlp,3.0,-3.0,133.73585518800246,19.7158421772765,2.906823791563511,95.50770235061646,81.77458033573141,0.0,417,416,10.902777777777779,10.0,[]
mlp,5.0,-5.0,133.69438701194304,19.674628173117526,2.9156645759940147,95.62559604644775,81.77458033573141,0.0,417,416,10.918981481481481,9.979166666666666,[]
mlp,10.0,-10.0,133.7171688608505,19.653129791026004,2.915317438542843,95.62902355194092,81.77458033573141,0.0,417,416,10.925925925925926,9.981481481481481,[]
