AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
mlp,-10.0,10.0,4.382316872764477,0.7839500904083326,0.0117340087890625,5.906602889300572,85.71428571428571,9.67741935483871,35,31,94.0229357798165,95.40366972477064,"[57, 408, 422]"
mlp,-5.0,5.0,24.68877285717208,1.8226946091745153,1.2018012404443583,16.009835081848983,80.71748878923766,10.975609756097562,223,164,57.538990825688074,71.5091743119266,"[36, 50, 51, 57, 69, 77, 128, 175, 215, 291, 296, 304, 307, 335, 379, 401, 414, 422]"
mlp,-3.0,3.0,47.52209273439795,6.348324623863604,1.5061530018506346,37.32556767182128,81.13207547169812,6.2745098039215685,318,255,38.19724770642202,50.79128440366973,"[50, 69, 110, 149, 162, 167, 175, 181, 215, 236, 269, 304, 307, 335, 358, 379]"
mlp,-2.5,2.5,66.84389095189904,10.678559492558406,2.0483813304194882,50.5247146717848,80.0,7.6158940397351,360,302,27.21559633027523,40.63302752293578,"[41, 50, 69, 70, 110, 149, 159, 162, 163, 167, 175, 181, 198, 215, 236, 277, 296, 304, 307, 335, 358, 379, 390]"
mlp,-2.0,2.0,100.87344267896646,16.94505832936835,3.4187801056286844,71.36352376522679,80.719794344473,6.876790830945559,389,349,17.729357798165136,28.461009174311926,"[41, 50, 69, 70, 149, 156, 159, 160, 162, 163, 175, 181, 198, 215, 236, 249, 277, 296, 307, 335, 353, 358, 379, 390]"
mlp,-1.5,1.5,139.6694821108343,22.63796655148895,3.8878524732451756,94.59813497531059,79.46210268948656,7.6923076923076925,409,390,12.295871559633028,19.63532110091743,"[41, 50, 69, 70, 80, 136, 144, 148, 149, 156, 159, 160, 162, 163, 164, 175, 181, 198, 215, 236, 240, 249, 263, 277, 296, 335, 353, 358, 379, 401]"
mlp,-1.0,1.0,171.15893885403523,26.584948683898403,4.1162469531222206,115.65975778132679,78.4869976359338,5.911330049261084,423,406,8.149082568807339,13.903669724770642,"[41, 50, 69, 70, 80, 130, 136, 144, 156, 159, 164, 181, 198, 215, 240, 263, 277, 296, 335, 353, 358, 379, 401, 411]"
mlp,-0.5,0.5,188.25212375211106,30.46607136212596,5.194440732451227,148.32175467676643,79.53488372093022,4.25531914893617,430,423,4.919724770642202,8.495412844036696,"[41, 50, 69, 70, 80, 130, 136, 144, 156, 159, 215, 263, 277, 335, 353, 358, 379, 411]"
mlp,0.0,0.0,185.72250587120652,36.133117475765175,5.848831080365926,159.573836684227,78.9838337182448,1.8648018648018647,433,429,3.371559633027523,5.91743119266055,"[50, 69, 70, 130, 136, 263, 379, 411]"
mlp,0.5,-0.5,155.42237091064453,35.781400959938765,6.267661809921265,133.25597774982452,78.11059907834101,1.1574074074074074,434,432,3.05045871559633,4.93348623853211,"[70, 130, 136, 379]"
mlp,1.0,-1.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[]
mlp,1.5,-1.5,97.50046682357788,29.48459953069687,6.848892688751221,74.06317520141602,76.7816091954023,3.248259860788863,435,431,3.584862385321101,5.178899082568807,"[50, 124, 149, 159, 160, 223, 229, 256, 353, 374, 411, 420, 422]"
mlp,2.0,-2.0,76.85875535011292,25.944769144058228,6.103710174560547,55.8611946105957,76.6743648960739,5.116279069767442,433,430,4.126146788990826,6.025229357798165,"[1, 3, 28, 50, 65, 124, 146, 149, 159, 160, 170, 223, 229, 256, 263, 304, 353, 374, 404, 411, 420, 422]"
mlp,2.5,-2.5,61.44952392578125,22.632105350494385,5.407930374145508,43.17708206176758,76.1574074074074,6.728538283062645,432,431,4.970183486238532,7.215596330275229,"[1, 3, 28, 65, 67, 77, 101, 124, 146, 149, 159, 160, 170, 198, 223, 229, 256, 263, 281, 304, 353, 374, 387, 404, 407, 411, 420, 421, 422]"
mlp,3.0,-3.0,49.52531814575195,19.53407096862793,4.722419738769531,33.971923828125,74.88372093023256,8.430913348946136,430,427,6.387614678899083,9.004587155963304,"[1, 3, 28, 65, 77, 101, 124, 146, 149, 159, 160, 170, 181, 198, 223, 229, 263, 281, 286, 304, 333, 353, 374, 385, 387, 404, 407, 411, 419, 420, 421, 422, 429]"
mlp,5.0,-5.0,19.595478058025037,9.894510269233251,2.9505653381347656,16.25519561767578,66.34615384615384,15.942028985507244,416,414,15.69954128440367,17.94954128440367,"[1, 3, 5, 7, 17, 20, 28, 37, 42, 49, 50, 65, 69, 77, 95, 96, 100, 101, 112, 123, 124, 146, 148, 149, 159, 160, 170, 171, 181, 198, 203, 212, 223, 225, 229, 231, 237, 253, 254, 263, 264, 272, 281, 286, 301, 304, 305, 333, 353, 374, 377, 385, 387, 393, 400, 404, 411, 419, 420, 421, 422, 426, 427, 429]"
