AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,-3.0,3.0,100.95309567451477,31.269817247986794,6.768996715545654,91.81680727005005,76.49769585253456,0.9259259259259258,434,432,3.6788990825688073,5.068807339449541,"[50, 256, 263]",1
last-row-paired,-2.5,2.5,105.38380694389343,31.647124603390694,6.833822965621948,93.47698450088501,76.49769585253456,0.6944444444444444,434,432,3.5688073394495414,5.043577981651376,"[263, 411]",1
last-row-paired,-2.0,2.0,109.62963724136353,32.0189063847065,6.917916536331177,95.02221155166626,76.49769585253456,0.9259259259259258,434,432,3.488532110091743,5.020642201834862,"[50, 256, 263]",1
last-row-paired,-1.0,1.0,117.18534398078918,32.6423576772213,6.978732109069824,97.57780313491821,77.18894009216591,0.6944444444444444,434,432,3.311926605504587,4.935779816513762,[263],1
last-row-paired,-0.5,0.5,120.4637999534607,32.873918920755386,7.044077157974243,98.83604335784912,76.95852534562212,0.4629629629629629,434,432,3.302752293577982,4.901376146788991,[256],1
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],1
last-row-paired,0.5,-0.5,125.82067084312439,33.250910580158234,7.125395059585571,101.00394201278687,77.18894009216591,0.4629629629629629,434,432,3.18348623853211,4.86697247706422,[],1
last-row-paired,1.0,-1.0,128.10794830322266,33.44385784864426,7.179075002670288,101.96211385726929,77.47126436781609,0.4629629629629629,435,432,3.1490825688073394,4.841743119266055,[256],1
last-row-paired,1.5,-1.5,129.56081700325012,33.510079741477966,7.203847646713257,102.86202716827393,77.70114942528735,0.9259259259259258,435,432,3.110091743119266,4.855504587155964,[],1
last-row-paired,2.0,-2.0,131.14417386054993,33.60887332260609,7.242243051528931,103.61978340148926,77.47126436781609,0.9259259259259258,435,432,3.052752293577982,4.8463302752293576,[256],1
last-row-paired,2.5,-2.5,131.86905336380005,33.68828123807907,7.269870042800903,104.2762622833252,77.47126436781609,0.9280742459396751,435,431,3.073394495412844,4.855504587155964,"[69, 256]",1
last-row-paired,3.0,-3.0,132.5716094970703,33.851279973983765,7.288580775260925,105.04312705993652,77.47126436781609,0.6960556844547563,435,431,3.0458715596330275,4.837155963302752,"[69, 256]",1
last-row-paired,-3.0,3.0,75.48351502418518,32.31504049897194,6.852288722991943,90.67444038391113,67.68149882903981,0.9302325581395349,427,430,8.392201834862385,5.112385321100917,"[50, 124, 204, 263]",5
last-row-paired,-2.5,2.5,84.96232676506042,32.74538527429104,6.894590854644775,92.46740102767944,69.6969696969697,0.6944444444444444,429,432,6.862385321100917,5.087155963302752,"[50, 263]",5
last-row-paired,-2.0,2.0,94.66988241672516,33.09374986588955,6.952110052108765,94.16231679916382,71.75925925925925,0.4629629629629629,432,432,5.440366972477064,5.041284403669724,[263],5
last-row-paired,-1.0,1.0,112.99197751283646,33.29422318935394,7.03876256942749,97.28883218765259,76.26728110599078,0.9259259259259258,434,432,3.8394495412844036,4.967889908256881,[263],5
last-row-paired,-0.5,0.5,118.95836544036865,33.30168294906616,7.051612138748169,98.63687372207642,77.18894009216591,0.6944444444444444,434,432,3.4403669724770642,4.8922018348623855,[263],5
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],5
