ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
baseline,-,,,,133.7392504101299,19.61443948862143,2.9054782167077065,95.53512287139893,81.77458033573141,0.0,417,416,10.886574074074074,9.988425925925926,[]
resid_ablation,N/A,0.01,112.88636126567872,2.0,133.35623900191422,20.469877736235503,0.0,0.0,80.96385542168674,0.0,415,0,11.074074074074074,-1.0,
resid_ablation_control,N/A,0.01,113.48873836967687,2.0,133.32813511924178,19.839396749564912,0.0,0.0,81.92771084337349,0.0,415,0,10.921296296296296,-1.0,
resid_ablation_grad,N/A,0.01,114.78030860218132,2.0,134.79601101941807,20.015702417236753,0.0,0.0,81.88405797101449,0.0,414,0,10.74537037037037,-1.0,
resid_ablation,N/A,0.02,113.44428452238935,5.0,133.54340777576,20.099123253370635,0.0,0.0,80.09708737864078,0.0,412,0,11.351851851851851,-1.0,
resid_ablation_control,N/A,0.02,114.96415465776226,5.0,134.1688807735045,19.204726115742233,0.0,0.0,81.49038461538461,0.0,416,0,10.766203703703704,-1.0,
resid_ablation_grad,N/A,0.02,115.89376639317197,5.0,135.64994147063408,19.756175077462103,0.0,0.0,81.73076923076923,0.0,416,0,10.715277777777779,-1.0,
resid_ablation,N/A,0.03,113.4905814617814,7.0,133.636283932894,20.1457024711126,0.0,0.0,80.43478260869566,0.0,414,0,11.430555555555555,-1.0,
resid_ablation_control,N/A,0.03,112.51552468574664,7.0,132.88813005150587,20.372605365759227,0.0,0.0,81.59806295399515,0.0,413,0,10.944444444444445,-1.0,
resid_ablation_grad,N/A,0.03,114.34583354404458,7.0,135.39226882876392,21.046435284719337,0.0,0.0,79.75903614457832,0.0,415,0,10.627314814814815,-1.0,
resid_ablation,N/A,0.05,107.54192246650928,12.0,130.83046276975074,23.28854030324146,0.0,0.0,80.2919708029197,0.0,411,0,11.73611111111111,-1.0,
resid_ablation_control,N/A,0.05,113.94500154459092,12.0,134.86948262357328,20.924481078982353,0.0,0.0,81.88405797101449,0.0,414,0,10.608796296296296,-1.0,
resid_ablation_grad,N/A,0.05,113.02646539951093,12.0,133.80022284496226,20.773757445451338,0.0,0.0,79.85611510791367,0.0,417,0,10.488425925925926,-1.0,
resid_ablation,N/A,0.07,102.41750435161521,17.0,126.98882500620675,24.571320654591545,0.0,0.0,78.15533980582524,0.0,412,0,12.555555555555555,-1.0,
resid_ablation_control,N/A,0.07,115.89121090705157,17.0,135.6384287297551,19.747217822703533,0.0,0.0,81.35593220338984,0.0,413,0,10.868055555555555,-1.0,
resid_ablation_grad,N/A,0.07,112.56279291384271,17.0,133.12013041463797,20.557337500795256,0.0,0.0,80.43478260869566,0.0,414,0,10.868055555555555,-1.0,
resid_ablation,N/A,0.1,90.88034390821122,25.0,118.09473407268524,27.214390164474025,0.0,0.0,75.18427518427518,0.0,407,0,13.060185185185185,-1.0,
resid_ablation_control,N/A,0.1,114.426730492356,25.0,133.5172078347823,19.09047734242631,0.0,0.0,81.88405797101449,0.0,414,0,11.125,-1.0,
resid_ablation_grad,N/A,0.1,112.03737259570335,25.0,133.45821432997764,21.42084173427429,0.0,0.0,80.0,0.0,415,0,10.738425925925926,-1.0,
resid_ablation,N/A,0.2,61.95617597940145,51.0,94.31791675978457,32.361740780383116,0.0,0.0,69.52141057934509,0.0,397,0,14.949074074074074,-1.0,
resid_ablation_control,N/A,0.2,113.0898747198662,51.0,135.3480622862844,22.2581875664182,0.0,0.0,81.1138014527845,0.0,413,0,11.122685185185185,-1.0,
resid_ablation_grad,N/A,0.2,106.96663280864595,51.0,131.21697298481013,24.250340176164173,0.0,0.0,78.26086956521739,0.0,414,0,11.023148148148149,-1.0,
resid_ablation,N/A,0.3,44.6160290663538,76.0,81.03244947592611,36.41642040957231,0.0,0.0,64.91228070175438,0.0,399,0,16.05324074074074,-1.0,
resid_ablation_control,N/A,0.3,115.17929665761767,76.0,136.73223481042078,21.552938152803108,0.0,0.0,80.87167070217917,0.0,413,0,10.731481481481481,-1.0,
resid_ablation_grad,N/A,0.3,95.02464274428712,76.0,122.55396152504181,27.529318780754693,0.0,0.0,77.18446601941747,0.0,412,0,11.351851851851851,-1.0,
resid_ablation,N/A,0.4,34.24146472249413,102.0,71.19904617179418,36.95758144930005,0.0,0.0,56.52173913043478,0.0,391,0,18.493055555555557,-1.0,
resid_ablation_control,N/A,0.4,115.07602034036245,102.0,135.54155620583333,20.465535865470883,0.0,0.0,79.51807228915662,0.0,415,0,10.252314814814815,-1.0,
resid_ablation_grad,N/A,0.4,92.07140100981087,102.0,122.55995465070919,30.488553640898317,0.0,0.0,75.48543689320388,0.0,412,0,12.074074074074074,-1.0,
resid_ablation,N/A,0.5,11.116804179589963,128.0,56.90532112342771,45.78851694383775,0.0,0.0,49.743589743589745,0.0,390,0,19.627314814814813,-1.0,
resid_ablation_control,N/A,0.5,107.8196390279627,128.0,132.8190607118886,24.999421683925902,0.0,0.0,80.0,0.0,410,0,11.296296296296296,-1.0,
