ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
baseline,-,,,,133.8467044584395,19.171292979852296,2.9708156250417233,95.22210311889648,81.25,0.0,416,417,10.637413394919168,9.97228637413395,[]
resid_ablation,N/A,0.01,114.58968298099353,2.0,133.92303238107706,19.333349400083534,0.0,0.0,81.00961538461539,0.0,416,0,10.598152424942263,-1.0,
resid_ablation_control,N/A,0.01,115.8083159775706,2.0,134.86354626866523,19.05523029109463,0.0,0.0,82.16867469879519,0.0,415,0,10.600461893764434,-1.0,
resid_ablation_grad,N/A,0.01,115.36317305122793,2.0,134.29633415227,18.93316110104206,0.0,0.0,81.49038461538461,0.0,416,0,10.752886836027713,-1.0,
resid_ablation_intgrad,N/A,0.01,113.24573682656046,2.0,133.2883021706657,20.042565344105242,0.0,0.0,81.20481927710843,0.0,415,0,10.674364896073904,-1.0,
resid_ablation,N/A,0.02,114.38544024684234,5.0,134.1026558863814,19.717215639539063,0.0,0.0,79.22705314009661,0.0,414,0,10.909930715935335,-1.0,
resid_ablation_control,N/A,0.02,116.75373674387083,5.0,135.02095021487185,18.267213471001014,0.0,0.0,81.88405797101449,0.0,414,0,10.914549653579677,-1.0,
resid_ablation_grad,N/A,0.02,114.69332742286497,5.0,134.2073242236802,19.51399680081522,0.0,0.0,80.48192771084337,0.0,415,0,10.762124711316398,-1.0,
resid_ablation_intgrad,N/A,0.02,113.84938326662814,5.0,133.20911452871223,19.359731262084097,0.0,0.0,81.15942028985508,0.0,414,0,11.090069284064665,-1.0,
resid_ablation,N/A,0.03,110.4592410040932,7.0,131.72190554505505,21.26266454096185,0.0,0.0,79.46859903381642,0.0,414,0,11.224018475750578,-1.0,
resid_ablation_control,N/A,0.03,116.25366027250129,7.0,135.8814790292381,19.627818756736815,0.0,0.0,82.3671497584541,0.0,414,0,10.868360277136258,-1.0,
resid_ablation_grad,N/A,0.03,113.84167019228335,7.0,133.94585913649644,20.104188944213092,0.0,0.0,80.96385542168674,0.0,415,0,10.76674364896074,-1.0,
resid_ablation_intgrad,N/A,0.03,115.01321099029155,7.0,134.27689438854577,19.263683398254216,0.0,0.0,81.1138014527845,0.0,413,0,11.124711316397228,-1.0,
resid_ablation,N/A,0.05,108.46046901878435,12.0,130.37798194168136,21.917512922897004,0.0,0.0,79.51807228915662,0.0,415,0,11.482678983833718,-1.0,
resid_ablation_control,N/A,0.05,115.14195962225494,12.0,134.76188449600886,19.619924873753916,0.0,0.0,82.03883495145631,0.0,412,0,11.036951501154734,-1.0,
resid_ablation_grad,N/A,0.05,115.98155510977085,12.0,135.7714393010101,19.789884191239253,0.0,0.0,80.3357314148681,0.0,417,0,10.517321016166282,-1.0,
