model,model_slug,intervention_target,lambda,direction,factual_accuracy_pct,counterfactual_accuracy_pct,Image Valid Examples,Text Valid Examples
LLaVA-NeXT,llava-next,MLP intervention,-10.0,Favor visual evidence,39.87538940809969,60.12461059190031,321,338
LLaVA-NeXT,llava-next,MLP intervention,-5.0,Favor visual evidence,33.65384615384616,66.34615384615384,416,414
LLaVA-NeXT,llava-next,MLP intervention,-3.0,Favor visual evidence,25.116279069767444,74.88372093023256,430,427
LLaVA-NeXT,llava-next,MLP intervention,-2.5,Favor visual evidence,23.842592592592595,76.1574074074074,432,431
LLaVA-NeXT,llava-next,MLP intervention,-2.0,Favor visual evidence,23.325635103926103,76.6743648960739,433,430
LLaVA-NeXT,llava-next,MLP intervention,-1.5,Favor visual evidence,23.218390804597703,76.7816091954023,435,431
LLaVA-NeXT,llava-next,MLP intervention,-1.0,Favor visual evidence,22.811059907834093,77.18894009216591,434,432
LLaVA-NeXT,llava-next,MLP intervention,-0.5,Favor visual evidence,21.88940092165899,78.11059907834101,434,432
LLaVA-NeXT,llava-next,MLP intervention,0.0,Baseline,21.016166281755204,78.9838337182448,433,429
LLaVA-NeXT,llava-next,MLP intervention,0.5,Favor parametric knowledge,20.465116279069775,79.53488372093022,430,423
LLaVA-NeXT,llava-next,MLP intervention,1.0,Favor parametric knowledge,21.513002364066196,78.4869976359338,423,406
LLaVA-NeXT,llava-next,MLP intervention,1.5,Favor parametric knowledge,20.537897310513443,79.46210268948656,409,390
LLaVA-NeXT,llava-next,MLP intervention,2.0,Favor parametric knowledge,19.280205655527,80.719794344473,389,349
LLaVA-NeXT,llava-next,MLP intervention,2.5,Favor parametric knowledge,20.0,80.0,360,302
LLaVA-NeXT,llava-next,MLP intervention,3.0,Favor parametric knowledge,18.867924528301884,81.13207547169812,318,255
LLaVA-NeXT,llava-next,MLP intervention,5.0,Favor parametric knowledge,19.282511210762337,80.71748878923766,223,164
LLaVA-NeXT,llava-next,MLP intervention,10.0,Favor parametric knowledge,14.285714285714292,85.71428571428571,35,31
Gemma3,gemma3,MLP intervention,-50.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-25.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-10.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-5.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-3.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-2.5,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-2.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-1.5,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-1.0,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,-0.5,Favor visual evidence,18.225419664268586,81.77458033573141,417,416
Gemma3,gemma3,MLP intervention,0.0,Baseline,18.8861985472155,81.1138014527845,413,415
Gemma3,gemma3,MLP intervention,0.5,Favor parametric knowledge,18.302387267904507,81.6976127320955,377,356
Gemma3,gemma3,MLP intervention,1.0,Favor parametric knowledge,18.13333333333334,81.86666666666666,375,356
Gemma3,gemma3,MLP intervention,1.5,Favor parametric knowledge,17.81914893617021,82.18085106382979,376,356
Gemma3,gemma3,MLP intervention,2.0,Favor parametric knowledge,18.085106382978722,81.91489361702128,376,357
Gemma3,gemma3,MLP intervention,2.5,Favor parametric knowledge,18.085106382978722,81.91489361702128,376,357
Gemma3,gemma3,MLP intervention,3.0,Favor parametric knowledge,17.86666666666666,82.13333333333334,375,356
Gemma3,gemma3,MLP intervention,5.0,Favor parametric knowledge,17.81914893617021,82.18085106382979,376,356
Gemma3,gemma3,MLP intervention,10.0,Favor parametric knowledge,17.81914893617021,82.18085106382979,376,356
Gemma3,gemma3,MLP intervention,25.0,Favor parametric knowledge,17.81914893617021,82.18085106382979,376,355
Gemma3,gemma3,MLP intervention,50.0,Favor parametric knowledge,17.81914893617021,82.18085106382979,376,355
