model,model_slug,num_heads,lambda,direction,factual_accuracy_pct,counterfactual_accuracy_pct
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,22.52873563218391,77.47126436781609
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,20.55427251732101,79.44572748267899
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,15.935334872979212,84.06466512702079
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,17.972350230414747,82.02764976958525
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,13.888888888888886,86.11111111111111
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,14.651162790697668,85.34883720930233
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,14.452214452214449,85.54778554778555
LLaVA-NeXT,llava-next,1,-3.0,Favor visual evidence,14.883720930232556,85.11627906976744
LLaVA-NeXT,llava-next,1,-2.5,Favor visual evidence,18.202764976958534,81.79723502304147
LLaVA-NeXT,llava-next,1,-2.5,Favor visual evidence,14.583333333333343,85.41666666666666
LLaVA-NeXT,llava-next,1,-2.5,Favor visual evidence,15.313225058004647,84.68677494199535
LLaVA-NeXT,llava-next,1,-2.5,Favor visual evidence,13.457076566125295,86.5429234338747
LLaVA-NeXT,llava-next,5,-2.5,Favor visual evidence,14.583333333333343,85.41666666666666
LLaVA-NeXT,llava-next,5,-2.5,Favor visual evidence,16.39722863741339,83.60277136258661
LLaVA-NeXT,llava-next,5,-2.5,Favor visual evidence,21.016166281755204,78.9838337182448
LLaVA-NeXT,llava-next,5,-2.5,Favor visual evidence,22.52873563218391,77.47126436781609
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,15.242494226327935,84.75750577367207
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,15.207373271889395,84.7926267281106
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,17.51152073732719,82.48847926267281
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,18.894009216589865,81.10599078341014
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,22.52873563218391,77.47126436781609
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,21.939953810623564,78.06004618937644
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,15.207373271889395,84.7926267281106
LLaVA-NeXT,llava-next,5,-2.0,Favor visual evidence,15.437788018433181,84.56221198156682
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,19.354838709677423,80.64516129032258
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,17.972350230414747,82.02764976958525
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,17.51152073732719,82.48847926267281
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,22.298850574712645,77.70114942528735
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,15.935334872979212,84.06466512702079
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,15.011547344110852,84.98845265588915
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,15.668202764976954,84.33179723502305
LLaVA-NeXT,llava-next,10,-1.5,Favor visual evidence,22.40184757505773,77.59815242494227
LLaVA-NeXT,llava-next,10,-1.0,Favor visual evidence,20.737327188940085,79.26267281105991
LLaVA-NeXT,llava-next,10,-1.0,Favor visual evidence,18.202764976958534,81.79723502304147
LLaVA-NeXT,llava-next,10,-1.0,Favor visual evidence,18.475750577367194,81.5242494226328
LLaVA-NeXT,llava-next,10,-1.0,Favor visual evidence,18.24480369515011,81.75519630484989
LLaVA-NeXT,llava-next,20,-1.0,Favor visual evidence,22.52873563218391,77.47126436781609
