model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
LLaVA-NeXT,llava-next,0,0,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,0,1,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,0,2,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,0,3,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,0,4,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,0,5,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,0,6,47.01834917068482,-2.98165082931518,Other
LLaVA-NeXT,llava-next,0,7,51.37614607810974,1.37614607810974,Other
LLaVA-NeXT,llava-next,0,8,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,0,9,54.81651425361633,4.81651425361633,Other
LLaVA-NeXT,llava-next,0,10,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,0,11,55.504587292671204,5.5045872926712,Other
LLaVA-NeXT,llava-next,0,12,49.5412826538086,-0.45871734619140003,Other
LLaVA-NeXT,llava-next,0,13,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,0,14,50.2293586730957,0.22935867309570002,Other
LLaVA-NeXT,llava-next,0,15,49.08257126808167,-0.91742873191833,Other
LLaVA-NeXT,llava-next,0,16,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,0,17,47.70641922950745,-2.2935807704925497,Other
LLaVA-NeXT,llava-next,0,18,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,0,19,52.522936463356004,2.52293646335601,Other
LLaVA-NeXT,llava-next,0,20,46.33027315139771,-3.66972684860229,Other
LLaVA-NeXT,llava-next,0,21,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,0,22,56.192660331726074,6.19266033172607,Other
LLaVA-NeXT,llava-next,0,23,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,0,24,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,0,25,54.12844121456146,4.128441214561461,Other
LLaVA-NeXT,llava-next,0,26,51.37614607810974,1.37614607810974,Other
LLaVA-NeXT,llava-next,0,27,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,0,28,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,0,29,45.41284441947937,-4.58715558052063,Other
LLaVA-NeXT,llava-next,0,30,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,0,31,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,1,0,52.75229215621948,2.75229215621948,Other
LLaVA-NeXT,llava-next,1,1,52.06421911716461,2.06421911716461,Other
LLaVA-NeXT,llava-next,1,2,54.58715558052063,4.58715558052063,Other
LLaVA-NeXT,llava-next,1,3,54.35779690742491,4.35779690742492,Other
LLaVA-NeXT,llava-next,1,4,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,1,5,53.66972386837004,3.66972386837005,Other
LLaVA-NeXT,llava-next,1,6,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,1,7,47.70641922950745,-2.2935807704925497,Other
LLaVA-NeXT,llava-next,1,8,52.522936463356004,2.52293646335601,Other
LLaVA-NeXT,llava-next,1,9,52.293577790260315,2.29357779026031,Other
LLaVA-NeXT,llava-next,1,10,51.14679038524626,1.14679038524627,Other
