model,model_slug,method,pixels_removed_pct,factual_accuracy_pct
LLaVA-NeXT,llava-next,Through Attn Heads,0.0,22.811059907834093
LLaVA-NeXT,llava-next,Through Attn Heads,1.0,29.493087557603687
LLaVA-NeXT,llava-next,Through Attn Heads,2.0,33.02540415704388
LLaVA-NeXT,llava-next,Through Attn Heads,3.0,38.10623556581986
LLaVA-NeXT,llava-next,Through Attn Heads,5.0,46.63573085846868
LLaVA-NeXT,llava-next,Through Attn Heads,7.000000000000001,52.44755244755245
LLaVA-NeXT,llava-next,Through Attn Heads,10.0,59.57943925233645
LLaVA-NeXT,llava-next,Through Attn Heads,20.0,69.90521327014218
LLaVA-NeXT,llava-next,Through Attn Heads,30.0,72.16981132075472
LLaVA-NeXT,llava-next,Through Attn Heads,40.0,75.65011820330969
LLaVA-NeXT,llava-next,Through Attn Heads,50.0,74.93857493857493
LLaVA-NeXT,llava-next,Through Attn Heads,60.0,77.72151898734178
LLaVA-NeXT,llava-next,Through Attn Heads,70.0,77.11171662125341
LLaVA-NeXT,llava-next,Through Attn Heads,80.0,76.1755485893417
LLaVA-NeXT,llava-next,Through Attn Heads,90.0,71.17437722419928
LLaVA-NeXT,llava-next,Through Attn Heads,100.0,69.40298507462687
LLaVA-NeXT,llava-next,Random,0.0,22.811059907834093
LLaVA-NeXT,llava-next,Random,1.0,23.271889400921665
LLaVA-NeXT,llava-next,Random,2.0,22.811059907834093
LLaVA-NeXT,llava-next,Random,3.0,22.58064516129032
LLaVA-NeXT,llava-next,Random,5.0,23.04147465437788
LLaVA-NeXT,llava-next,Random,7.000000000000001,22.811059907834093
LLaVA-NeXT,llava-next,Random,10.0,23.502304147465438
LLaVA-NeXT,llava-next,Random,20.0,23.908045977011497
LLaVA-NeXT,llava-next,Random,30.0,25.747126436781613
LLaVA-NeXT,llava-next,Random,40.0,25.404157043879906
LLaVA-NeXT,llava-next,Random,50.0,24.018475750577366
LLaVA-NeXT,llava-next,Random,60.0,26.218097447795813
LLaVA-NeXT,llava-next,Random,70.0,27.738927738927742
